state,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,JJ,Moderna,Pfizer,Administered_Dose1_Recip,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Additional_Doses,Additional_Doses_18Plus,Additional_Doses_50Plus,Additional_Doses_65Plus,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,date,tot_case,tot_death,new_case,new_death
MT,1296338,1288986,1222341,438273,53122,551001,690743,631444,624142,588378,188950,551403,551341,521302,171797,49976,224336,276735,49970,224317,276698,49924,224219,246810,9607,82424,79585,143896,143704,115067,83144,62618,79120,1970,22/11/2021,188505,2567,492,20
NM,3074321,3049679,2845395,855440,103176,1260675,1704022,1588251,1562715,1444394,393985,1326452,1326286,1226629,338636,100611,523426,700607,100596,523404,700478,100463,523032,601350,20216,158135,159362,324759,324358,245563,158999,119763,202173,2780,22/11/2021,305579,5277,3642,14
MD,9163091,9158763,8500785,2226534,325854,3424584,5398957,4512229,4505133,4158452,960443,4055185,4054933,3748961,877573,305902,1431324,2314408,305847,1431284,2314254,305660,1430825,2009088,53482,419211,403866,866138,865162,658296,433542,374988,475833,15130,22/11/2021,579591,11145,1572,24
KY,5321837,5285530,5001042,1565173,207975,2213313,2898652,2667825,2632283,2477794,696672,2316297,2316118,2185534,626303,196271,921033,1197537,196240,921020,1197405,196135,920793,1067210,37464,286151,301952,514208,513745,412372,283253,222879,282179,9095,22/11/2021,773881,10760,731,0
OH,14119110,14010172,13261861,4403207,549078,5442137,8110076,6762630,6654847,6263176,1834754,6170085,6169824,5821011,1743549,512231,2270292,3382804,512220,2270283,3382563,512000,2269762,3034588,88427,788406,864357,1420227,1418776,1144469,823940,593434,804251,22279,22/11/2021,1647237,26063,4370,0
AL,5155007,5144321,4890749,1613841,152311,2269501,2732929,2745330,2734781,2591219,770005,2245543,2245440,2135471,663662,149402,954259,1141375,149393,954248,1141292,149317,953810,1031839,35295,352034,276000,377625,377127,319099,231660,176186,196005,5422,22/11/2021,843360,16136,755,0
NE,2544522,2520060,2357579,733621,84651,935025,1519612,1229013,1204635,1119095,297576,1105399,1105281,1029084,280132,82464,395939,625622,82444,395915,625550,82387,395775,549604,6681,136217,136382,262267,261984,201764,143191,97335,162644,2140,22/11/2021,304432,3112,1865,4
TN,7993403,7965470,7578785,2432788,231033,3057705,4665556,3837918,3810504,3603583,1013784,3363087,3362712,3191215,929998,215209,1233515,1904960,215162,1233493,1904659,214938,1232997,1733961,34276,460791,429868,684524,683434,556459,398431,274352,400509,8125,22/11/2021,1306694,16861,584,14
ND,872163,865571,822396,258770,34928,344740,492190,435025,429320,406313,114986,368994,368616,349344,98105,33269,138382,197340,33265,138377,196971,33128,138179,178034,4205,46997,46903,84521,84462,66609,47284,36236,47324,960,22/11/2021,159373,1861,887,9
AZ,9415079,9355860,8740497,2839330,318767,3766183,5311849,4629057,4571260,4240739,1214761,3956455,3955956,3686008,1070642,302155,1523046,2126035,301912,1523019,2125808,301724,1522417,1856713,47759,521007,499056,683733,682538,548367,399119,267560,409298,6596,22/11/2021,1245127,21942,3249,2
CA,58455483,57879475,53709593,13273437,2052758,22116826,34270771,30798730,30274239,27973772,6271458,24797254,24747261,22877011,4957934,1973350,8939659,13879900,1972933,8938955,13831037,1965698,8913768,11993494,195286,2496994,2264314,4477817,4473699,3264989,2126689,1890234,2517468,69828,22/11/2021,5029772,73199,15344,199
IL,17295687,17248246,16092273,4439702,589978,6353804,10331545,8492247,8460126,7847797,1910100,7748030,7731346,7177904,1756547,575943,2689825,4475664,575882,2689710,4459157,573394,2682190,3915864,79677,786350,887481,1647912,1646307,1248824,850285,668937,962238,16254,22/11/2021,1775253,29215,11387,58
MN,8054961,7942192,7428345,2250286,324258,2971211,4757010,3850700,3746224,3481018,916080,3504907,3496681,3250765,865175,311052,1244833,1948242,311035,1244816,1940051,310543,1242598,1696871,49574,363940,451428,967297,966541,737732,508311,364108,590480,12546,22/11/2021,875917,9316,4714,37
LA,5141282,5129855,4863531,1523565,173992,2118333,2846291,2563246,2551770,2404325,658007,2259451,2259270,2140313,623377,163063,906594,1188810,163039,906571,1188677,162895,906098,1070347,21762,296048,305365,402604,402155,333628,237142,153465,245072,4053,22/11/2021,768041,14754,711,5
GA,12105567,12056847,11333203,3116154,297750,4838801,6956484,6200277,6152363,5742948,1375401,5229759,5229033,4913975,1222060,289944,2027236,2908604,289830,2027175,2908058,289504,2026361,2594378,33447,667287,519418,789242,788320,633757,440200,357168,424536,7243,22/11/2021,1656992,30236,2343,74
KS,3622512,3594436,3359380,1059885,118900,1410630,2089972,1905812,1877255,1748931,501934,1582303,1582235,1474644,414277,113432,594715,873621,113418,594707,873575,113319,594367,766488,17749,197543,198752,312617,312249,246735,175530,131621,177143,3772,22/11/2021,458220,6643,2431,9
HI,2061736,2042681,1917685,577861,54581,661715,1251380,1152427,1134004,1058120,291769,858803,857274,806891,237311,54648,275201,510812,54612,275150,509381,54482,274591,459693,10460,97535,127899,113904,113755,88733,63268,29336,83741,802,22/11/2021,84084,991,92,0
WI,8039456,7967932,7513854,2478587,299820,3097742,4640418,3797976,3726842,3487982,999969,3449931,3449650,3239223,941911,282734,1275895,1890800,282712,1275878,1890558,282528,1275563,1680653,29353,453295,459046,900779,900066,703840,495252,346868,544347,9537,22/11/2021,953422,9831,7707,15
WV,1689232,1684033,1609658,611078,44301,765505,878952,964105,959158,914771,331860,743883,743569,711941,265572,46183,323176,374255,46168,323087,374045,46110,322872,342714,7265,135149,123046,56108,56058,45363,31887,17661,37975,459,22/11/2021,289524,4757,557,31
DE,1387043,1381938,1297598,444648,53684,534458,797230,694706,689699,647032,197483,593488,593427,557064,171942,52436,215890,324628,52426,215878,324589,52379,215765,288393,9532,70649,91474,108404,108320,93500,71032,42972,64349,1077,22/11/2021,150625,2159,240,0
NJ,13217593,13122217,12217898,3219774,487008,5073384,7656590,6947067,6851321,6362730,1509119,5990748,5990461,5564729,1310267,473851,2176621,3340035,473767,2176581,3339872,473535,2175987,2914981,88587,610402,611201,1066184,1064970,829533,537672,459813,586309,20053,22/11/2021,1233511,28265,1543,11
VA,12821637,12652745,11781687,3132300,442417,4608174,7763880,6373815,6221696,5767417,1367795,5510330,5497782,5094711,1207101,415424,1897432,3194701,415083,1897259,3182676,413636,1891856,2786630,70102,563717,572412,1144888,1143736,873297,583850,484378,642856,17465,22/11/2021,959156,14573,4057,51
NV,3891373,3874484,3639811,1012898,166483,1365840,2358541,2025490,2008910,1877725,466069,1668543,1668501,1568314,397204,160496,571369,936631,160492,571365,936597,160450,571267,836552,24943,184316,187918,270210,270054,217661,154842,106808,159702,3700,22/11/2021,466400,7930,1767,12
NH,2082500,2069801,1940640,601810,100970,793910,1187560,1149971,1137432,1076665,357650,870411,870170,819521,229811,75547,329623,465172,75521,329517,465063,75491,329365,414600,15680,96075,118021,49075,49028,38821,26072,20002,28232,833,22/11/2021,153934,1672,3121,10
AK,937325,928931,867585,194494,38812,365573,532199,452900,445396,412976,83707,394157,393262,365403,76315,35614,147852,210605,35611,147848,209717,35474,147458,182391,3358,42095,30827,93334,93067,65348,39162,39691,52751,881,22/11/2021,143454,832,737,0
SC,6095802,6063060,5749961,1997967,201372,2367798,3524783,3073560,3042751,2871574,904282,2631574,2628687,2484367,787711,190024,973791,1467438,189980,973703,1464683,189430,971784,1322834,29789,335815,421914,498974,498548,424129,319644,182106,308349,8227,22/11/2021,913912,14128,615,1
CT,5867883,5810826,5406031,1579540,222341,2183534,3460826,2960087,2904484,2690153,690592,2556047,2555455,2369496,592353,215838,904221,1435566,215757,903932,1435347,215658,903735,1249787,21433,233142,337685,529875,529576,430778,297506,226140,298077,5644,22/11/2021,414978,8853,2060,3
ME,2167168,2147212,2028862,705483,128529,877226,1159437,1084712,1064831,1003262,309206,966367,966318,910764,274818,123703,363751,478485,123683,363744,478463,123628,363689,423057,23736,125069,125814,227679,227561,190628,138579,98531,125474,3486,22/11/2021,116947,1300,1090,28
NC,13263904,13157008,12376991,3752242,453455,4930802,7878786,7208485,7108826,6684874,1932413,5643509,5638412,5291959,1451174,436363,2029397,3177632,436343,2029339,3172613,434962,2026482,2830401,49728,696526,704868,672039,671498,525498,357763,267038,395013,9981,22/11/2021,1520471,18630,5592,33
UT,3994280,3961460,3603980,833040,160314,1440752,2392920,2038579,2006256,1816367,360212,1769782,1769327,1606484,323445,154490,614759,1000524,154453,614723,1000142,154311,614360,837804,16085,138199,169160,280676,280086,209021,148622,94898,182388,3389,22/11/2021,586758,3442,3829,14
RI,1706072,1688083,1583553,466527,58163,647654,999114,870204,851807,794872,201632,764158,764076,713252,180803,55986,274128,433770,55985,274123,433695,55961,274031,382988,6460,81667,92576,167732,167545,135406,93976,71861,94181,1684,22/11/2021,187531,2913,1144,7
MA,11353960,11200651,10476185,2791914,361882,4387519,6604137,5835767,5694339,5301909,1303859,4878711,4867108,4531962,1070709,356981,1795244,2726334,356959,1795233,2714764,355743,1789934,2386150,71124,483557,515972,966956,966237,722661,485573,421648,536346,8959,22/11/2021,897874,19284,7141,16
ID,1851727,0,1850342,618367,74088,753154,1021892,900558,0,897526,264139,803850,0,802062,243395,71714,308571,422932,0,0,0,71692,308544,421199,11582,111823,119721,194835,194830,156691,112971,78998,113523,2273,22/11/2021,303928,3862,632,16
MS,3153385,3147035,2969072,948886,79585,1291752,1780046,1590612,1584401,1486000,426093,1391736,1391645,1311138,393606,77399,549836,763882,77385,549824,763817,77309,549523,683707,16986,200972,175350,224325,224015,193081,137600,104055,117811,2225,22/11/2021,511935,10240,1187,1
SD,1116190,1112134,1045041,347098,35589,446573,633884,577291,573207,535380,163447,478337,478317,449556,136750,34833,185130,258350,34830,185128,258335,34806,185066,229660,4671,68408,63656,100870,100795,83019,60051,43795,56109,965,22/11/2021,162790,2309,415,4
WY,618964,616319,585804,201731,26185,273567,318645,306601,303935,287092,88657,261758,261744,248164,80046,24030,109855,127773,24027,109854,127763,24006,109836,114224,3692,40745,35562,61037,60948,50783,37504,25676,34619,714,22/11/2021,109802,1347,484,0
AR,3471854,3448129,3231372,1024902,107166,1494613,1866813,1808661,1786404,1666150,474167,1479765,1478231,1381225,403496,103388,623658,751927,103268,623647,750526,102868,622549,655049,14886,226579,161596,284515,284222,228421,162916,128332,152764,3035,22/11/2021,524440,8620,270,5
CO,8434790,8335524,7799709,1972545,302565,3307110,4818576,4068536,3977898,3695475,806124,3618520,3610177,3358611,739451,287175,1355523,1973998,287148,1355501,1965707,285960,1351827,1719062,25637,353029,360119,893328,892243,627625,408825,390796,491116,11317,22/11/2021,811813,8951,7079,73
NY,29318723,29158342,27340170,6882446,1229399,10777838,17300039,15024941,14863405,13896400,3227113,13248411,13247262,12394552,2854751,1152595,4674907,7417911,1152438,4674681,7417163,1151733,4672830,6567206,178512,1349249,1325735,1654308,1652853,1296171,871102,677990,955259,21023,22/11/2021,1531063,21994,4094,27
FL,30352876,30220179,28628121,10335514,1307827,11346933,17587041,15281910,15153930,14295153,4518703,13084583,13082562,12374038,3933749,1261522,4587061,7203255,1260710,4586335,7202779,1259929,4585248,6496374,205439,1895178,1813835,2314213,2312058,2007076,1517208,1018147,1261068,32231,22/11/2021,3682568,61528,1614,4
MI,12476069,12375349,11707631,3807596,406306,4907691,7160168,6050609,5949660,5600283,1635142,5428268,5428044,5116378,1509261,391299,2052023,2983980,391276,2052002,2983802,391011,2051344,2673130,68551,753923,686233,1341545,1340407,1065633,736869,562694,762260,16562,22/11/2021,1427191,24928,18772,55
OR,6074527,6010687,5647527,1682984,244447,2261054,3563103,2986052,2928637,2737861,725693,2688472,2682648,2512180,676560,232020,958820,1496088,232017,958816,1490275,231211,955981,1323529,51115,305591,319140,584015,583543,444877,323496,229434,346141,8245,22/11/2021,385790,5017,1728,103
TX,36648730,36377456,33510653,7876991,1353971,13825695,21466203,18402839,18146204,16616437,3435383,15768746,15766207,14522101,3091599,1227221,5729552,8811627,1226912,5728988,8809962,1225722,5725504,7570551,169046,1475033,1447389,2550743,2545895,1905280,1215222,1117602,1400189,32860,22/11/2021,4292386,72208,1956,10
IA,4077549,4045634,3814334,1298413,158481,1634361,2284296,1951895,1920409,1799247,531460,1779084,1779037,1671026,500984,151313,684095,943426,151311,684090,943386,151228,683897,835652,13926,263215,223733,457489,457130,371312,268839,208160,244473,4854,22/11/2021,516907,7268,3270,0
WA,11077428,10998995,10291309,2793573,432630,4177534,6458823,5465748,5387477,5018248,1181282,4920946,4920485,4589744,1095629,419522,1786154,2712603,419490,1786097,2712233,419203,1785413,2382518,56512,499468,538225,989734,988480,766567,539951,403213,573804,12386,22/11/2021,766008,9139,3890,29
MO,7290233,7242374,6838961,2210581,224130,2633513,4430287,3630596,3583823,3367005,971624,3112660,3112545,2929287,864182,220141,1096001,1796001,220117,1095988,1795923,219897,1095567,1613408,38499,393014,432512,619622,619064,502189,364836,226514,387057,6020,22/11/2021,896047,15327,1897,2
RI,1698696,1681305,1576857,464677,58067,643708,995780,868641,850857,793968,201456,763755,763675,712885,180750,55950,273969,433562,55949,273964,433489,55925,273872,382816,6454,81641,92555,162391,162209,131830,92344,68667,92091,1627,21/11/2021,186387,2906,0,0
ND,872162,865570,822395,258770,34928,344740,492189,434968,429266,406260,114976,368990,368612,349340,98104,33269,138382,197336,33265,138377,196967,33128,138179,178030,4205,46997,46902,84496,84437,66598,47278,36220,47315,960,21/11/2021,158486,1852,148,0
WI,8017193,7950277,7496541,2473568,299439,3087921,4628359,3791157,3724590,3485924,999595,3448582,3448304,3238011,941803,282582,1275459,1890040,282560,1275442,1889801,282376,1275127,1680030,29340,453229,459017,886829,886132,694890,490755,338600,538880,9322,21/11/2021,945715,9816,0,0
FL,30270895,30146741,28556421,10309506,1305658,11314300,17539889,15259992,15140336,14282492,4515992,13075215,13073201,12365413,3932153,1260552,4584472,7197451,1259740,4583746,7196982,1258959,4582659,6491313,205306,1894430,1813124,2265400,2263289,1969953,1496451,993192,1238385,31058,21/11/2021,3680954,61524,903,8
DE,1386779,1381674,1297334,444460,53676,534331,797101,694440,689460,646795,197418,593434,593373,557010,171926,52412,215875,324613,52402,215863,324574,52355,215750,288378,9525,70645,91469,108110,108026,93253,70858,42827,64205,1072,21/11/2021,150385,2159,339,0
MN,8027003,7919688,7406307,2245395,323522,2959870,4741135,3842939,3743906,3478954,915726,3503492,3495269,3249548,865036,310845,1244418,1947451,310828,1244401,1939263,310336,1242183,1696278,49554,363870,451380,948284,947539,726747,503845,353994,582109,12019,21/11/2021,871203,9279,0,0
MT,1296320,1288968,1222323,438272,53122,550983,690743,631395,624095,588331,188938,551392,551330,521291,171796,49974,224332,276730,49968,224313,276693,49922,224215,246805,9607,82424,79584,143860,143668,115047,83135,62598,79104,1970,21/11/2021,188013,2547,0,0
NE,2520367,2499173,2337189,726983,84230,925610,1505325,1223236,1202050,1116781,297208,1103783,1103674,1027672,279982,82303,395540,624571,82284,395516,624507,82228,395377,548753,6673,136143,136315,245989,245723,190647,137206,89422,154537,1899,21/11/2021,302567,3108,0,0
WA,11077400,10998967,10291281,2793566,432630,4177512,6458817,5465065,5386928,5017712,1181174,4920840,4920379,4589645,1095614,419507,1786114,2712554,419475,1786057,2712184,419188,1785373,2382476,56511,499460,538220,989452,988198,766425,539888,403035,573705,12381,21/11/2021,762118,9110,0,0
IA,4077105,4045190,3813890,1298285,158481,1633917,2284296,1951557,1920126,1798975,531397,1779026,1778979,1670971,500975,151299,684076,943401,151297,684071,943361,151214,683878,835630,13924,263208,223733,456897,456538,370857,268678,207660,244389,4846,21/11/2021,513637,7268,0,0
SC,6078055,6047203,5734521,1993139,200909,2359225,3516072,3067914,3039000,2868059,903551,2629416,2626530,2482389,787413,189838,972947,1466310,189794,972859,1463556,189244,970940,1321886,29772,335648,421800,489448,489024,417102,315964,176504,304676,7976,21/11/2021,913297,14127,854,21
ID,1847906,0,1846521,617561,73960,751513,1019840,899866,0,896841,264046,803333,0,801547,243363,71648,308432,422620,0,0,0,71626,308405,420889,11581,111813,119700,192238,192233,155106,112307,77800,112184,2213,21/11/2021,303296,3846,0,0
NY,29256801,29105272,27288545,6869663,1228301,10754238,17262820,15001415,14848861,13882661,3224574,13242180,13241042,12388960,2853999,1151843,4673266,7414075,1151686,4673040,7413338,1150981,4671193,6564005,178458,1348857,1325430,1619491,1618061,1274987,861064,660031,938763,20661,21/11/2021,1526969,21967,5492,24
MI,12434711,12339081,11672093,3797723,405487,4887018,7140302,6039533,5943710,5594775,1634081,5425273,5425052,5113656,1508930,390938,2050971,2982399,390915,2050950,2982224,390650,2050295,2671819,68516,753714,686147,1313014,1311904,1047218,728101,545429,751467,16089,21/11/2021,1408419,24841,0,0
VA,12762461,12603620,11733713,3120298,441089,4585094,7729113,6355573,6213356,5759685,1366417,5505255,5492731,5090150,1206605,415006,1896127,3191349,414681,1895955,3179331,413234,1890552,2783775,70050,563490,572195,1110378,1109244,851857,573916,466466,627109,16614,21/11/2021,955099,14522,0,0
OR,6053297,5994661,5631865,1678637,244129,2253131,3550141,2978992,2926653,2736072,725292,2687263,2681441,2511120,676408,231894,958491,1495345,231891,958487,1489534,231085,955652,1322935,51099,305525,319078,571439,570976,437460,319755,222789,340391,8066,21/11/2021,384062,4914,0,0
CT,5843274,5791573,5387167,1575289,221924,2172467,3447701,2950640,2900357,2686251,689704,2554791,2554199,2368405,592250,215638,903882,1434849,215557,903593,1434630,215458,903396,1249235,21409,233107,337641,516020,515724,421868,294261,217675,292904,5427,21/11/2021,412918,8850,0,0
UT,3994252,3961456,3603978,833040,160314,1440752,2392892,2038429,2006146,1816261,360198,1769754,1769299,1606461,323443,154486,614751,1000508,154449,614715,1000126,154307,614352,837793,16084,138198,169160,280637,280047,209008,148619,94879,182368,3389,21/11/2021,582929,3428,0,0
OH,14066325,13966445,13219011,4391175,548117,5421216,8079177,6748272,6649461,6258260,1834009,6165964,6165718,5817296,1743150,511824,2269104,3380278,511813,2269095,3380052,511593,2268574,3032468,88389,788207,864195,1385855,1384423,1122083,813000,575584,788282,21727,21/11/2021,1642867,26063,3797,0
NJ,13202876,13109125,12205056,3216347,486719,5065205,7650341,6941361,6847632,6359219,1508326,5989578,5989298,5563674,1310106,473691,2176173,3339473,473608,2176133,3339316,473376,2175539,2914533,88567,610311,611151,1056379,1055175,823425,534850,453396,583065,19909,21/11/2021,1231968,28254,1602,4
IL,17231600,17184324,16029611,4423040,588598,6324381,10298317,8477219,8445351,7833758,1907074,7739895,7723212,7170248,1755013,575114,2687034,4471167,575053,2686919,4454661,572566,2679403,3911840,79591,785595,886794,1606455,1604884,1223049,838251,648210,942054,15711,21/11/2021,1763866,29157,0,0
MS,3153292,3147022,2969065,948885,79585,1291747,1779958,1590443,1584316,1485922,426075,1391712,1391621,1311115,393606,77393,549827,763873,77379,549815,763808,77303,549514,683699,16986,200972,175350,224291,223981,193064,137598,104040,117793,2224,21/11/2021,510748,10229,0,0
HI,2060230,2041293,1916328,577299,54499,660987,1250684,1151785,1133485,1057625,291622,858640,857111,806740,237280,54623,275162,510713,54587,275111,509282,54457,274552,459606,10452,97522,127889,113042,112893,88103,62861,28832,83441,744,21/11/2021,83992,991,96,0
MA,11303453,11163224,10439573,2782971,361222,4365784,6576025,5814991,5686522,5294617,1302142,4875625,4864030,4529149,1070228,356643,1793972,2724858,356622,1793961,2713295,355406,1788663,2384945,71062,483259,515851,940108,939409,706529,478711,405480,525999,8626,21/11/2021,890733,19268,0,0
IN,7655240,7616710,7187319,2326568,274991,2802417,4551572,3720405,3682639,3455972,971554,3396042,3395241,3198918,923912,263821,1203516,1921058,263797,1203501,1920296,263554,1203203,1724602,29776,452678,437745,649661,648969,537064,392429,234166,407455,7690,21/11/2021,1069450,17247,0,0
NH,2078733,2066368,1937274,600542,100889,792506,1185278,1146737,1134602,1073876,356601,870128,869887,819260,229760,75485,329566,465008,75459,329460,464899,75429,329308,414458,15661,96061,118003,48562,48515,38422,25816,19666,28068,820,21/11/2021,150813,1662,0,0
NM,3064184,3042152,2838013,853486,102959,1256791,1697994,1583693,1560851,1442642,393580,1325769,1325605,1226001,338503,100544,523124,700296,100529,523102,700169,100396,522730,601094,20206,158045,159330,319386,318990,242331,157496,116983,199730,2631,21/11/2021,301937,5263,0,0
VT,1086776,1074811,1011719,342223,48295,430237,607376,522649,510830,477245,136878,452450,452401,422514,123378,44834,168432,238924,44818,168420,238903,44758,168381,209132,2473,59517,61235,138235,138105,109325,74516,56394,79765,2066,21/11/2021,43024,383,0,0
NC,13251109,13145413,12365706,3750286,453440,4925467,7871341,7199639,7101173,6677385,1931079,5642296,5637199,5290884,1451113,436331,2029035,3176813,436311,2028977,3171794,434930,2026120,2829720,49727,696493,704841,669208,668669,523738,357110,265416,393810,9975,21/11/2021,1514879,18597,0,0
AR,3465858,3443011,3226352,1023605,107053,1491728,1863815,1806650,1785256,1665064,473996,1479058,1477525,1380556,403406,103327,623353,751586,103207,623342,750186,102807,622244,654746,14883,226519,161569,281228,280937,226235,161882,126321,151543,2980,21/11/2021,524170,8615,304,3
AL,5146029,5136242,4882931,1611733,152171,2266442,2727150,2742393,2732725,2589289,769651,2244148,2244046,2134193,663476,149334,953875,1140432,149325,953864,1140350,149249,953426,1031013,35285,351962,275896,373204,372715,315921,230109,174269,193571,5352,21/11/2021,842605,16136,245,3
WV,1689228,1684029,1609654,611076,44301,765501,878952,963843,958925,914541,331805,743826,743512,711887,265566,46173,323158,374226,46158,323069,374016,46100,322854,342688,7263,135146,123045,55982,55932,45287,31852,17563,37948,458,21/11/2021,288967,4726,720,0
TN,7993403,7965470,7578785,2432788,231033,3057705,4665556,3837648,3810252,3603335,1013738,3363035,3362660,3191164,929995,215198,1233493,1904941,215151,1233471,1904640,214927,1232975,1733943,34274,460790,429868,684395,683305,556398,398408,274282,400453,8122,21/11/2021,1306110,16847,845,0
PA,18998971,18877825,17819561,5867456,709300,7469131,10819197,10710690,10592449,10000401,3153509,7934511,7932745,7478419,2211617,703641,2965882,4264409,703568,2965730,4262869,703137,2963284,3811461,92704,1039185,1079466,952688,951631,769425,546258,409887,534691,8085,21/11/2021,1686169,32924,5417,13
WY,618926,616282,585770,201723,26184,273550,318625,306540,303880,287039,88646,261735,261721,248146,80045,24028,109845,127762,24025,109844,127752,24004,109826,114218,3692,40744,35562,61010,60921,50766,37494,25660,34610,712,21/11/2021,109318,1347,0,0
KS,3612837,3585923,3351058,1057792,118724,1407020,2084085,1902548,1875351,1747115,501641,1581208,1581142,1473645,414184,113361,594464,872849,113347,594456,872805,113248,594116,765812,17740,197498,198714,307064,306700,243197,173825,128932,174387,3664,21/11/2021,455789,6634,0,0
CO,8421131,8323351,7787811,1970746,302309,3301039,4811245,4064364,3975226,3692951,805853,3617266,3608924,3357477,739324,287041,1355133,1973268,287014,1355111,1964978,285826,1351438,1718451,25635,352965,360058,884847,883772,623495,407371,386273,487283,11192,21/11/2021,804734,8878,0,0
TX,36588355,36326336,33462152,7867615,1352668,13803107,21429721,18384416,18136370,16608104,3434203,15762156,15759622,14516267,3090946,1226684,5727723,8807403,1226375,5727159,8805743,1225185,5723679,7567079,168985,1474748,1447082,2519578,2514763,1886781,1208213,1101773,1385475,32238,21/11/2021,4290380,72198,517,29
SD,1115593,1111565,1044479,346932,35587,446229,633633,576998,572942,535119,163385,478290,478270,449513,136747,34830,185118,258318,34827,185116,258303,34803,185054,229632,4670,68407,63655,100523,100448,82744,59914,43533,56024,965,21/11/2021,162375,2305,0,0
OK,4788237,4765182,4484128,1368281,133898,1948767,2704580,2452860,2430014,2277619,635242,2026329,2026243,1899553,528838,129316,797194,1099674,129301,797176,1099621,129224,796931,973270,19801,268260,240742,359251,358905,294387,212731,153059,202371,3805,21/11/2021,659585,11107,0,0
ME,2165442,2145549,2027205,704660,128435,876061,1158970,1083627,1063819,1002258,308786,966234,966185,910635,274795,123614,363720,478472,123594,363713,478450,123539,363658,423048,23720,125064,125812,226892,226774,189982,138131,97980,125250,3474,21/11/2021,115857,1272,0,1
GA,12105455,12056735,11333091,3116103,297747,4838693,6956483,6199625,6151803,5742402,1375309,5229632,5228906,4913855,1222054,289924,2027195,2908538,289810,2027134,2907992,289484,2026320,2594319,33445,667284,519417,788947,788025,633588,440129,356995,424422,7235,21/11/2021,1654649,30162,0,0
MO,7269750,7224666,6821568,2205504,223856,2625075,4418516,3624436,3580211,3363564,970996,3110715,3110605,2927492,863937,220008,1095378,1794812,219984,1095365,1794739,219764,1094944,1612369,38486,392881,432413,607389,606837,494032,360632,220287,381194,5877,21/11/2021,894150,15325,801,0
AK,937235,928841,867495,194450,38811,365484,532199,452836,445332,412912,83689,394148,393253,365394,76312,35612,147847,210603,35609,147843,209715,35472,147453,182389,3358,42092,30827,93248,92981,65279,39112,39614,52742,881,21/11/2021,142717,832,0,0
KY,5306080,5271561,4987341,1561848,207772,2205942,2890469,2663555,2629849,2475505,696314,2314922,2314746,2184274,626169,196178,920538,1196750,196147,920525,1196621,196042,920298,1066538,37458,286079,301896,504157,503700,405927,280495,217209,277906,8988,21/11/2021,773150,10760,1007,0
MD,9145480,9141214,8483596,2222332,325555,3416719,5389520,4508545,4501732,4155238,960007,4053597,4053347,3747527,877437,305721,1430888,2313443,305668,1430848,2313289,305481,1430389,2008274,53472,419147,403807,853008,852055,650307,429934,368648,469206,14966,21/11/2021,578019,11121,1006,10
LA,5132676,5122109,4856102,1521622,173853,2114684,2841473,2560752,2550151,2402933,657872,2258623,2258443,2139567,623325,162994,906275,1188370,162970,906252,1188238,162826,905779,1069989,21758,296024,305341,397440,396999,330118,235414,150684,242756,3986,21/11/2021,767330,14749,0,0
CA,58279762,57731440,53567669,13243834,2048689,22048954,34166996,30735756,30238703,27942363,6265350,24777653,24727916,22859575,4954981,1971424,8933278,13868607,1971008,8932574,13819999,1963775,8907389,11984361,195111,2495258,2263273,4382413,4378379,3212084,2106004,1842547,2471897,67684,21/11/2021,5014428,73000,0,0
NV,3879036,3863210,3628846,1009594,166152,1360950,2351425,2021780,2006245,1875225,465544,1667020,1666978,1566933,397039,160308,571060,935605,160304,571056,935571,160262,570958,835668,24915,184263,187834,263458,263304,212957,152266,103220,156669,3569,21/11/2021,464633,7918,0,0
AZ,9385009,9331649,8717221,2832381,318034,3754588,5294119,4618349,4566287,4236412,1214006,3952853,3952366,3682666,1069975,301631,1521780,2124227,301388,1521753,2124012,301201,1521151,1855164,47711,520605,498841,668731,667551,538577,394016,259394,402658,6400,21/11/2021,1241878,21940,3629,1
ID,1839660,0,1838281,614723,73660,746894,1016519,898592,0,895577,263775,802333,0,800548,243232,71490,308065,422147,0,0,0,71468,308038,420417,11573,111738,119652,186319,186314,150998,109912,74205,109979,2095,20/11/2021,303296,3846,246,1
VA,12716363,12563959,11694905,3107230,440012,4564342,7704866,6341270,6205418,5752236,1364503,5500834,5488337,5086066,1205976,414554,1894725,3188785,414246,1894553,3176777,412799,1889151,2781530,70001,563166,571940,1083911,1082804,833671,563810,451356,616337,16033,20/11/2021,955099,14522,0,0
NE,2520052,2498869,2336888,726826,84229,925435,1505186,1223084,1201915,1116649,297178,1103738,1103629,1027629,279978,82296,395529,624544,82277,395505,624480,82221,395366,548728,6673,136140,136314,245703,245437,190404,137050,89250,154425,1897,20/11/2021,302567,3108,0,0
